Source Name,Disabled,Processing Groups
VBRK_VBRP_M21,False,VBRK_VBRP_M21
tbl_dim_segment,False,
SC-Segment,False,SC-Segment;1.3.Orders SL
SC-WBS Element,False,SC-WBS Element;1.3.Orders SL
SC-Orders Data Cleansing,False,SC-Orders Data Cleansing
SC-Orders SL - Historical Update,True,SC-Orders SL - Historical Update
VBAK_VBAP_VBEP_M21,False,VBAK_VBAP_VBEP_M21
SC-Customer Sales Area-Momentum Cleanup,False,SC-CSA Momentum Cleanup
SC-Invoices Data Cleansing,False,SC-Invoices Data Cleansing
SC-Customer M21,False,
SC-Item M21,False,
SQL_vw_bi_ICOGS,False,1.1.SQL Sources;ST_SQL_vw_bi_ICOGS
ADR6,False,1.1.Master;ST_ADR6
SC-ICS Invoice Profit Center M21,False,SC-ICS Invoice M21
SC-Customer Cleansing,False,SC-Customer Cleansing
SC-Budget Forecast Test,False,SC-Budget Forecast Test
ZZSD_DP,False,1.1.Transaction;SC-ZZSD_DP
SC-ZZSD_DP,False,1.1.Transaction;SC-ZZSD_DP
SC-Orders SL TG Update,False,SC-Orders SL TG Update
SC-Orders SL TG Update New,False,SC-Orders SL TG Update New
